GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-1000-age-specific-cohort,1992,1992,1992,AMR,Americas,HTI,Haiti,SEX,SEX_FMLE,Female,9.33664,9.3 [4.6-14.9],4.60607,14.87863
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-1000-age-specific-cohort,2007,2007,2007,AMR,Americas,HTI,Haiti,SEX,SEX_FMLE,Female,5.91339,5.9 [2.6-9.5],2.5716,9.49829
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-1000-age-specific-cohort,1990,1990,1990,AMR,Americas,HTI,Haiti,SEX,SEX_FMLE,Female,19.75274,19.8 [13.8-27.7],13.80227,27.73566
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,1972,1972,1972,AMR,Americas,HTI,Haiti,SEX,SEX_FMLE,Female,220.44654,220.4 [202.7-240.6],202.69582,240.62586
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2010,2010,2010,AMR,Americas,HTI,Haiti,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.09831,0.1,,
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,2017,2017,2017,AMR,Americas,HTI,Haiti,SEX,SEX_BTSX,Both sexes,65.9188,65.9 [53.2-83.5],53.20749,83.49301
MORT_100,Number of deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2020,2020,2020,AMR,Americas,HTI,Haiti,SEX,SEX_BTSX,Both sexes,823.28702,823.3,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2007,2007,2007,AMR,Americas,HTI,Haiti,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.02655,0,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2016,2016,2016,AMR,Americas,HTI,Haiti,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.00172,0,,
MORT_100,Number of deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2017,2017,2017,AMR,Americas,HTI,Haiti,SEX,SEX_BTSX,Both sexes,19.0,19.0,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2012,2012,2012,AMR,Americas,HTI,Haiti,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.10047,0.1,,
CM_04,Number of deaths among children ages 5 to 9 years,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-children-ages-5-to-9-years,1997,1997,1997,AMR,Americas,HTI,Haiti,SEX,SEX_FMLE,Female,1595.0,1595 [1363-1870],1363.0,1870.0
WHOSIS_000003,Neonatal mortality rate (per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/neonatal-mortality-rate-%28per-1000-live-births%29,2015,2015,2015,AMR,Americas,HTI,Haiti,SEX,SEX_BTSX,Both sexes,27.42827,27.4 [21.7-34.9],21.73985,34.90294
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2016,2016,2016,AMR,Americas,HTI,Haiti,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years,10.52775,10.5,,
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/infant-mortality-rate-%28probability-of-dying-between-birth-and-age-1-per-1000-live-births%29,1972,1972,1972,AMR,Americas,HTI,Haiti,SEX,SEX_BTSX,Both sexes,155.69029,155.7 [144.3-169.1],144.28158,169.07767
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2016,2016,2016,AMR,Americas,HTI,Haiti,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years,5.13126,5.1,,
CM_03,Number of neonatal deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-neonatal-deaths,1999,1999,1999,AMR,Americas,HTI,Haiti,SEX,SEX_BTSX,Both sexes,8066.0,8066 [7066-9516],7066.0,9516.0
MDG_0000000007,Under-five mortality rate (probability of dying by age 5 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/under-five-mortality-rate-%28probability-of-dying-by-age-5-per-1000-live-births%29,1986,1986,1986,AMR,Americas,HTI,Haiti,SEX,SEX_MLE,Male,171.10983,171.1 [159.3-183.9],159.25674,183.92333
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2007,2007,2007,AMR,Americas,HTI,Haiti,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years,4.74745,4.7,,
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-adolescents-10-19-years-of-age,2007,2007,2007,AMR,Americas,HTI,Haiti,SEX,SEX_FMLE,Female,977.0,977 [730-1281],730.0,1281.0
CM_01,Number of under-five deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-under-five-deaths,1972,1972,1972,AMR,Americas,HTI,Haiti,SEX,SEX_BTSX,Both sexes,43069.0,43 069 [39 878-46 697],39878.0,46697.0
CM_01,Number of under-five deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-under-five-deaths,2004,2004,2004,AMR,Americas,HTI,Haiti,SEX,SEX_FMLE,Female,10859.0,10 859 [9907-11 835],9907.0,11835.0
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-adolescents-10-19-years-of-age,1992,1992,1992,AMR,Americas,HTI,Haiti,SEX,SEX_FMLE,Female,821.0,821 [404-1312],404.0,1312.0
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-1000-age-specific-cohort,2012,2012,2012,AMR,Americas,HTI,Haiti,SEX,SEX_MLE,Male,14.21931,14.2 [9.8-19.9],9.79338,19.91249
MORT_100,Number of deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2011,2011,2011,AMR,Americas,HTI,Haiti,SEX,SEX_BTSX,Both sexes,3144.83741,3145,,
MORT_100,Number of deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2011,2011,2011,AMR,Americas,HTI,Haiti,SEX,SEX_BTSX,Both sexes,76.7442,76.7,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2008,2008,2008,AMR,Americas,HTI,Haiti,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,5.06194,5.1,,
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/infant-mortality-rate-%28probability-of-dying-between-birth-and-age-1-per-1000-live-births%29,1968,1968,1968,AMR,Americas,HTI,Haiti,SEX,SEX_BTSX,Both sexes,169.45306,169.5 [154.6-186.3],154.63263,186.25788
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2016,2016,2016,AMR,Americas,HTI,Haiti,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.15414,0.2,,
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-1000-age-specific-cohort,2007,2007,2007,AMR,Americas,HTI,Haiti,SEX,SEX_BTSX,Both sexes,15.21979,15.2 [11.3-19.7],11.26159,19.69899
MORT_100,Number of deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2011,2011,2011,AMR,Americas,HTI,Haiti,SEX,SEX_BTSX,Both sexes,422.64914,422.6,,
MORT_100,Number of deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2010,2010,2010,AMR,Americas,HTI,Haiti,SEX,SEX_BTSX,Both sexes,,,,
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-adolescents-10-19-years-of-age,1999,1999,1999,AMR,Americas,HTI,Haiti,SEX,SEX_BTSX,Both sexes,3883.0,3883 [3020-4860],3020.0,4860.0
CM_01,Number of under-five deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-under-five-deaths,1999,1999,1999,AMR,Americas,HTI,Haiti,SEX,SEX_FMLE,Female,12782.0,12 782 [11 771-13 814],11771.0,13814.0
MORT_100,Number of deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2009,2009,2009,AMR,Americas,HTI,Haiti,SEX,SEX_BTSX,Both sexes,800.36539,800,,
MORT_100,Number of deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2011,2011,2011,AMR,Americas,HTI,Haiti,SEX,SEX_BTSX,Both sexes,133.86471,133.9,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2000,2000,2000,AMR,Americas,HTI,Haiti,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years,0.05978,0.1,,
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-adolescents-10-19-years-of-age,1999,1999,1999,AMR,Americas,HTI,Haiti,SEX,SEX_BTSX,Both sexes,2272.0,2272 [1816-2807],1816.0,2807.0
MORT_100,Number of deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2020,2020,2020,AMR,Americas,HTI,Haiti,SEX,SEX_BTSX,Both sexes,1108.59622,1108.6,,
WHOSIS_000014,Stillbirth rate (per 1000 total births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/stillbirth-rate-%28per-1000-total-births%29,2018,2018,2018,AMR,Americas,HTI,Haiti,SEX,SEX_BTSX,Both sexes,18.27452,18.27 [11.2-29.54],11.20108,29.53542
CM_03,Number of neonatal deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-neonatal-deaths,1998,1998,1998,AMR,Americas,HTI,Haiti,SEX,SEX_BTSX,Both sexes,8208.0,8208 [7238-9674],7238.0,9674.0
CM_03,Number of neonatal deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-neonatal-deaths,1983,1983,1983,AMR,Americas,HTI,Haiti,SEX,SEX_BTSX,Both sexes,12739.0,12 739 [11 257-14 785],11257.0,14785.0
CM_03,Number of neonatal deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-neonatal-deaths,1973,1973,1973,AMR,Americas,HTI,Haiti,SEX,SEX_BTSX,Both sexes,14541.0,14 541 [12 787-16 871],12787.0,16871.0
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2003,2003,2003,AMR,Americas,HTI,Haiti,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years,0.0,0,,
MORTADO,Adolescent mortality rate (per 1 000 age specific cohort),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/adolescent-mortality-rate-per-1000-age-specific-cohort,2011,2011,2011,AMR,Americas,HTI,Haiti,SEX,SEX_FMLE,Female,7.65076,7.7 [5.5-10.6],5.46617,10.63155
WHOSIS_000016,Mortality rate among children ages 5 to 9 years (per 1000 children aged 5),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mortality-rate-among-children-ages-5-to-9-years-%28per-1000-children-aged-5%29,2021,2021,2021,AMR,Americas,HTI,Haiti,SEX,SEX_MLE,Male,6.94871,6.9 [4.6-9.5],4.58225,9.51101
CM_02,Number of infant deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-infant-deaths,1982,1982,1982,AMR,Americas,HTI,Haiti,SEX,SEX_MLE,Male,15268.0,15 268 [14 231-16 353],14231.0,16353.0
MORT_100,Number of deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2002,2002,2002,AMR,Americas,HTI,Haiti,SEX,SEX_BTSX,Both sexes,2757.03205,2757.0,,
MORT_100,Number of deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2019,2019,2019,AMR,Americas,HTI,Haiti,SEX,SEX_BTSX,Both sexes,0.0,0.0,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2015,2015,2015,AMR,Americas,HTI,Haiti,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.19773,0.2,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2002,2002,2002,AMR,Americas,HTI,Haiti,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years,23.23096,23.2,,
MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/infant-mortality-rate-%28probability-of-dying-between-birth-and-age-1-per-1000-live-births%29,1966,1966,1966,AMR,Americas,HTI,Haiti,SEX,SEX_FMLE,Female,162.50658,162.5 [146.3-181.3],146.31688,181.26853
CM_04,Number of deaths among children ages 5 to 9 years,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-children-ages-5-to-9-years,2004,2004,2004,AMR,Americas,HTI,Haiti,SEX,SEX_MLE,Male,1453.0,1453 [1191-1759],1191.0,1759.0
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2004,2004,2004,AMR,Americas,HTI,Haiti,AGEGROUP,AGEGROUP_YEARS0-4,0-4 years,13.54944,13.5,,
MORT_100,Number of deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2010,2010,2010,AMR,Americas,HTI,Haiti,SEX,SEX_BTSX,Both sexes,3458.72319,3459,,
DEATHADO,Number of deaths among adolescents (10 to 19 years of age),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths-among-adolescents-10-19-years-of-age,2012,2012,2012,AMR,Americas,HTI,Haiti,SEX,SEX_FMLE,Female,803.0,803 [564-1141],564.0,1141.0
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2007,2007,2007,AMR,Americas,HTI,Haiti,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,0.0137,0,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2001,2001,2001,AMR,Americas,HTI,Haiti,AGEGROUP,AGEGROUP_MONTHS1-59,1-59 months,4.1695,4.2,,
MORT_100,Number of deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2003,2003,2003,AMR,Americas,HTI,Haiti,SEX,SEX_BTSX,Both sexes,436.49359,436.5,,
MORT_100,Number of deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2000,2000,2000,AMR,Americas,HTI,Haiti,SEX,SEX_BTSX,Both sexes,117.52506,118,,
MORT_200,Deaths per 1 000 live births,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/deaths-per-1-000-live-births,2010,2010,2010,AMR,Americas,HTI,Haiti,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,4.6105,4.6,,
MORT_300,Distribution of causes of death among children aged < 5 years (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/distribution-of-causes-of-death-among-children-aged-5-years-%28-%29,2014,2014,2014,AMR,Americas,HTI,Haiti,AGEGROUP,AGEGROUP_DAYS0-27,0-27 days,0.25197,0.3,,
MORT_100,Number of deaths,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-deaths,2021,2021,2021,AMR,Americas,HTI,Haiti,SEX,SEX_BTSX,Both sexes,366.97942,367.0,,
