GHO (CODE),GHO (DISPLAY),GHO (URL),YEAR (DISPLAY),STARTYEAR,ENDYEAR,REGION (CODE),REGION (DISPLAY),COUNTRY (CODE),COUNTRY (DISPLAY),DIMENSION (TYPE),DIMENSION (CODE),DIMENSION (NAME),Numeric,Value,Low,High
TB_ret_rel,Relapse cases (pre-2013 definition),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/relapse-cases-%28pre-2013-definition%29,2010,2010,2010,AMR,Americas,HTI,Haiti,,,,338.0,338,,
TB_c_ret_tsr,Treatment success rate: previously treated TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-previously-treated-tb-cases,2006,2006,2006,AMR,Americas,HTI,Haiti,,,,66.0,66,,
TB_ret_rel_clindx,"Relapse cases: Pulmonary, clinically diagnosed",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/relapse-cases-pulmonary-clinically-diagnosed,2015,2015,2015,AMR,Americas,HTI,Haiti,,,,258.0,258,,
TB_new_sp,"New cases: Pulmonary, smear-positive",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/new-cases-pulmonary-smear-positive,2003,2003,2003,AMR,Americas,HTI,Haiti,,,,7015.0,7015,,
TB_ret_nrel,"Previously treated  cases, excluding relapse",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/previously-treated-cases-excluding-relapse,2000,2000,2000,AMR,Americas,HTI,Haiti,,,,110.0,110,,
TB_c_dst_rlt_ret_pct,Previously treated cases tested for RR-/MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/previously-treated-cases-tested-for-rr--mdr-tb-%28-%29,2013,2013,2013,AMR,Americas,HTI,Haiti,,,,21.0,21,,
TB_hivtest_pct,TB patients with known HIV status (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tb-patients-with-known-hiv-status-%28-%29,2018,2018,2018,AMR,Americas,HTI,Haiti,,,,92.0,92,,
TB_1,Tuberculosis treatment coverage,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis-treatment-coverage,2003,2003,2003,AMR,Americas,HTI,Haiti,,,,57.0,57 [33-120],33.0,120.0
TB_c_xdr_tsr,Treatment success rate: XDR-TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-xdr-tb-cases,2020,2020,2020,AMR,Americas,HTI,Haiti,,,,100.0,100,,
TB_ret_nrel,"Previously treated  cases, excluding relapse",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/previously-treated-cases-excluding-relapse,2013,2013,2013,AMR,Americas,HTI,Haiti,,,,0.0,0,,
TB_ret_rel,Relapse cases (pre-2013 definition),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/relapse-cases-%28pre-2013-definition%29,2009,2009,2009,AMR,Americas,HTI,Haiti,,,,297.0,297,,
TB_new_clindx,"New or unknown treatment history cases: Pulmonary, clinically diagnosed",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/new-or-unknown-treatment-history-cases-pulmonary-clinically-diagnosed,2015,2015,2015,AMR,Americas,HTI,Haiti,,,,2968.0,2968,,
TB_new_clindx,"New or unknown treatment history cases: Pulmonary, clinically diagnosed",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/new-or-unknown-treatment-history-cases-pulmonary-clinically-diagnosed,2014,2014,2014,AMR,Americas,HTI,Haiti,,,,3521.0,3521,,
TB_c_ret_tsr,Treatment success rate: previously treated TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-previously-treated-tb-cases,2003,2003,2003,AMR,Americas,HTI,Haiti,,,,69.0,69,,
TB_c_new_tsr,Treatment success rate: new TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-new-tb-cases,1996,1996,1996,AMR,Americas,HTI,Haiti,,,,57.0,57,,
TB_e_inc_num,Number of incident tuberculosis cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases,2012,2012,2012,AMR,Americas,HTI,Haiti,,,,22000.0,22000 [16000-28000],16000.0,28000.0
TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-hiv-positive-tb-cases,2019,2019,2019,AMR,Americas,HTI,Haiti,,,,75.0,75,,
TB_new_snsuoth,"New cases: Pulmonary, smear-negative/unknown/not done and other new cases",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/new-cases-pulmonary-smear-negative-unknown-not-done-and-other-new-cases,2010,2010,2010,AMR,Americas,HTI,Haiti,,,,4335.0,4335,,
TB_ret_rel,Relapse cases (pre-2013 definition),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/relapse-cases-%28pre-2013-definition%29,2005,2005,2005,AMR,Americas,HTI,Haiti,,,,195.0,195,,
TB_c_new_tsr,Treatment success rate: new TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-new-tb-cases,2010,2010,2010,AMR,Americas,HTI,Haiti,,,,79.0,79,,
TB_c_dst_rlt_ret_pct,Previously treated cases tested for RR-/MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/previously-treated-cases-tested-for-rr--mdr-tb-%28-%29,2014,2014,2014,AMR,Americas,HTI,Haiti,,,,7.9,7.9,,
TB_c_new_tsr,Treatment success rate: new TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-new-tb-cases,1997,1997,1997,AMR,Americas,HTI,Haiti,,,,71.0,71,,
TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tested-tb-patients-hiv-positive-%28-%29,2017,2017,2017,AMR,Americas,HTI,Haiti,,,,16.0,16,,
TB_c_mdr_tx,Cases started on MDR-TB treatment,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/cases-started-on-mdr-tb-treatment,2010,2010,2010,AMR,Americas,HTI,Haiti,,,,46.0,46,,
TB_c_dst_rlt_new_pct,New cases tested for RR-/MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/new-cases-tested-for-rr--mdr-tb-%28-%29,2008,2008,2008,AMR,Americas,HTI,Haiti,,,,0.0,0,,
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population-per-year%29,2006,2006,2006,AMR,Americas,HTI,Haiti,,,,266.0,266 [129-452],129.0,452.0
TB_rr_mdr,Confirmed cases of RR-/MDR-TB,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/confirmed-cases-of-rr--mdr-tb,2014,2014,2014,AMR,Americas,HTI,Haiti,,,,91.0,91,,
TB_c_newinc,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis---new-and-relapse-cases,2021,2021,2021,AMR,Americas,HTI,Haiti,,,,10407.0,10407,,
TB_hiv_art_pct,HIV-positive TB patients on ART (antiretroviral therapy) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hiv-positive-tb-patients-on-art-%28antiretroviral-therapy%29-%28-%29,2022,2022,2022,AMR,Americas,HTI,Haiti,,,,90.0,90,,
TB_c_ret_tsr,Treatment success rate: previously treated TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-previously-treated-tb-cases,2007,2007,2007,AMR,Americas,HTI,Haiti,,,,69.0,69,,
TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population%29-%28hiv-positive-cases%29,2013,2013,2013,AMR,Americas,HTI,Haiti,,,,40.0,40 [31-51],31.0,51.0
TB_c_dst_rlt_ret_pct,Previously treated cases tested for RR-/MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/previously-treated-cases-tested-for-rr--mdr-tb-%28-%29,2007,2007,2007,AMR,Americas,HTI,Haiti,,,,0.0,0,,
TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases-%28hiv-positive-cases%29,2016,2016,2016,AMR,Americas,HTI,Haiti,,,,3000.0,3000 [2300-3900],2300.0,3900.0
TB_rr_mdr,Confirmed cases of RR-/MDR-TB,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/confirmed-cases-of-rr--mdr-tb,2022,2022,2022,AMR,Americas,HTI,Haiti,,,,71.0,71,,
TB_new_sp,"New cases: Pulmonary, smear-positive",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/new-cases-pulmonary-smear-positive,2005,2005,2005,AMR,Americas,HTI,Haiti,,,,7340.0,7340,,
TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases-%28hiv-positive-cases%29,2013,2013,2013,AMR,Americas,HTI,Haiti,,,,4100.0,4100 [3200-5200],3200.0,5200.0
TB_e_inc_num,Number of incident tuberculosis cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases,2008,2008,2008,AMR,Americas,HTI,Haiti,,,,24000.0,24000 [12000-39000],12000.0,39000.0
TB_c_mdr_tsr,Treatment success rate for patients treated for MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-for-patients-treated-for-mdr-tb-%28-%29,2015,2015,2015,AMR,Americas,HTI,Haiti,,,,83.0,83,,
TB_hiv_art_pct,HIV-positive TB patients on ART (antiretroviral therapy) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hiv-positive-tb-patients-on-art-%28antiretroviral-therapy%29-%28-%29,2021,2021,2021,AMR,Americas,HTI,Haiti,,,,92.0,92,,
TB_c_ret_tsr,Treatment success rate: previously treated TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-previously-treated-tb-cases,2011,2011,2011,AMR,Americas,HTI,Haiti,,,,72.0,72,,
TB_new_sp,"New cases: Pulmonary, smear-positive",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/new-cases-pulmonary-smear-positive,2010,2010,2010,AMR,Americas,HTI,Haiti,,,,8242.0,8242,,
TB_c_newinc,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis---new-and-relapse-cases,2009,2009,2009,AMR,Americas,HTI,Haiti,,,,14777.0,14777,,
TB_1,Tuberculosis treatment coverage,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis-treatment-coverage,2020,2020,2020,AMR,Americas,HTI,Haiti,,,,61.0,61 [48-80],48.0,80.0
TB_c_mdr_tx,Cases started on MDR-TB treatment,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/cases-started-on-mdr-tb-treatment,2019,2019,2019,AMR,Americas,HTI,Haiti,,,,98.0,98,,
TB_hivtest_pct,TB patients with known HIV status (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tb-patients-with-known-hiv-status-%28-%29,2011,2011,2011,AMR,Americas,HTI,Haiti,,,,73.0,73,,
TB_ret_rel_labconf,"Relapse cases: Pulmonary, bacteriologically confirmed",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/relapse-cases-pulmonary-bacteriologically-confirmed,2017,2017,2017,AMR,Americas,HTI,Haiti,,,,652.0,652,,
TB_c_newinc,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis---new-and-relapse-cases,2016,2016,2016,AMR,Americas,HTI,Haiti,,,,15302.0,15302,,
TB_ret_nrel,"Previously treated  cases, excluding relapse",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/previously-treated-cases-excluding-relapse,2015,2015,2015,AMR,Americas,HTI,Haiti,,,,234.0,234,,
TB_c_mdr_tx,Cases started on MDR-TB treatment,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/cases-started-on-mdr-tb-treatment,2008,2008,2008,AMR,Americas,HTI,Haiti,,,,43.0,43,,
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population-per-year%29,2015,2015,2015,AMR,Americas,HTI,Haiti,,,,194.0,194 [149-245],149.0,245.0
TB_c_dst_rlt_new_pct,New cases tested for RR-/MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/new-cases-tested-for-rr--mdr-tb-%28-%29,2007,2007,2007,AMR,Americas,HTI,Haiti,,,,0.0,0,,
TB_c_newinc,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis---new-and-relapse-cases,2019,2019,2019,AMR,Americas,HTI,Haiti,,,,13019.0,13019,,
TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases-%28hiv-positive-cases%29,2010,2010,2010,AMR,Americas,HTI,Haiti,,,,4500.0,4500 [2400-7100],2400.0,7100.0
TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tested-tb-patients-hiv-positive-%28-%29,2018,2018,2018,AMR,Americas,HTI,Haiti,,,,15.0,15,,
TB_new_clindx,"New or unknown treatment history cases: Pulmonary, clinically diagnosed",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/new-or-unknown-treatment-history-cases-pulmonary-clinically-diagnosed,2016,2016,2016,AMR,Americas,HTI,Haiti,,,,2456.0,2456,,
TB_c_mdr_tx,Cases started on MDR-TB treatment,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/cases-started-on-mdr-tb-treatment,2018,2018,2018,AMR,Americas,HTI,Haiti,,,,91.0,91,,
TB_c_newinc,Tuberculosis - new and relapse cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis---new-and-relapse-cases,2013,2013,2013,AMR,Americas,HTI,Haiti,,,,17040.0,17040,,
TB_c_mdr_tsr,Treatment success rate for patients treated for MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-for-patients-treated-for-mdr-tb-%28-%29,2019,2019,2019,AMR,Americas,HTI,Haiti,,,,93.0,93,,
TB_ret_rel_labconf,"Relapse cases: Pulmonary, bacteriologically confirmed",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/relapse-cases-pulmonary-bacteriologically-confirmed,2016,2016,2016,AMR,Americas,HTI,Haiti,,,,665.0,665,,
TB_c_dst_rlt_ret_pct,Previously treated cases tested for RR-/MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/previously-treated-cases-tested-for-rr--mdr-tb-%28-%29,2008,2008,2008,AMR,Americas,HTI,Haiti,,,,12.0,12,,
TB_e_inc_num,Number of incident tuberculosis cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases,2016,2016,2016,AMR,Americas,HTI,Haiti,,,,20000.0,20000 [15000-26000],15000.0,26000.0
TB_hiv_art_pct,HIV-positive TB patients on ART (antiretroviral therapy) (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/hiv-positive-tb-patients-on-art-%28antiretroviral-therapy%29-%28-%29,2018,2018,2018,AMR,Americas,HTI,Haiti,,,,83.0,83,,
TB_rr_mdr,Confirmed cases of RR-/MDR-TB,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/confirmed-cases-of-rr--mdr-tb,2020,2020,2020,AMR,Americas,HTI,Haiti,,,,95.0,95,,
TB_e_inc_num,Number of incident tuberculosis cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases,2018,2018,2018,AMR,Americas,HTI,Haiti,,,,19000.0,19000 [15000-25000],15000.0,25000.0
TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tested-tb-patients-hiv-positive-%28-%29,2008,2008,2008,AMR,Americas,HTI,Haiti,,,,22.0,22,,
TB_c_new_tsr,Treatment success rate: new TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-new-tb-cases,1995,1995,1995,AMR,Americas,HTI,Haiti,,,,70.0,70,,
TB_ret_nrel,"Previously treated  cases, excluding relapse",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/previously-treated-cases-excluding-relapse,2004,2004,2004,AMR,Americas,HTI,Haiti,,,,46.0,46,,
TB_c_mdr_tsr,Treatment success rate for patients treated for MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-for-patients-treated-for-mdr-tb-%28-%29,2014,2014,2014,AMR,Americas,HTI,Haiti,,,,79.0,79,,
TB_e_inc_num_014,Number of incident tuberculosis cases in children aged 0 - 14,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases-in-children-aged-0---14,2022,2022,2022,AMR,Americas,HTI,Haiti,,,,2000.0,2000 [1400-2600],1400.0,2600.0
TB_1,Tuberculosis treatment coverage,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tuberculosis-treatment-coverage,2010,2010,2010,AMR,Americas,HTI,Haiti,,,,63.0,63 [40-120],40.0,120.0
TB_hivtest_pct,TB patients with known HIV status (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tb-patients-with-known-hiv-status-%28-%29,2014,2014,2014,AMR,Americas,HTI,Haiti,,,,88.0,88,,
TB_ret_nrel,"Previously treated  cases, excluding relapse",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/previously-treated-cases-excluding-relapse,2008,2008,2008,AMR,Americas,HTI,Haiti,,,,60.0,60,,
TB_rr_mdr,Confirmed cases of RR-/MDR-TB,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/confirmed-cases-of-rr--mdr-tb,2007,2007,2007,AMR,Americas,HTI,Haiti,,,,39.0,39,,
TB_hivtest_pos_pct,Tested TB patients HIV-positive (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tested-tb-patients-hiv-positive-%28-%29,2006,2006,2006,AMR,Americas,HTI,Haiti,,,,26.0,26,,
TB_hivtest_pct,TB patients with known HIV status (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/tb-patients-with-known-hiv-status-%28-%29,2022,2022,2022,AMR,Americas,HTI,Haiti,,,,95.0,95,,
TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases-%28hiv-positive-cases%29,2019,2019,2019,AMR,Americas,HTI,Haiti,,,,3000.0,3000 [2300-3800],2300.0,3800.0
TB_e_inc_num,Number of incident tuberculosis cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases,2001,2001,2001,AMR,Americas,HTI,Haiti,,,,23000.0,23000 [11000-40000],11000.0,40000.0
TB_ret_nrel,"Previously treated  cases, excluding relapse",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/previously-treated-cases-excluding-relapse,2014,2014,2014,AMR,Americas,HTI,Haiti,,,,157.0,157,,
TB_c_dst_rlt_new_pct,New cases tested for RR-/MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/new-cases-tested-for-rr--mdr-tb-%28-%29,2017,2017,2017,AMR,Americas,HTI,Haiti,,,,42.0,42,,
TB_e_inc_num,Number of incident tuberculosis cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/number-of-incident-tuberculosis-cases,2003,2003,2003,AMR,Americas,HTI,Haiti,,,,24000.0,24000 [11000-42000],11000.0,42000.0
TB_new_clindx,"New or unknown treatment history cases: Pulmonary, clinically diagnosed",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/new-or-unknown-treatment-history-cases-pulmonary-clinically-diagnosed,2019,2019,2019,AMR,Americas,HTI,Haiti,,,,2123.0,2123,,
TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-hiv-positive-tb-cases,2006,2006,2006,AMR,Americas,HTI,Haiti,,,,68.0,68,,
TB_c_ret_tsr,Treatment success rate: previously treated TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-previously-treated-tb-cases,2009,2009,2009,AMR,Americas,HTI,Haiti,,,,69.0,69,,
TB_c_mdr_tx,Cases started on MDR-TB treatment,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/cases-started-on-mdr-tb-treatment,2016,2016,2016,AMR,Americas,HTI,Haiti,,,,131.0,131,,
TB_c_tbhiv_tsr,Treatment success rate: HIV-positive TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-hiv-positive-tb-cases,2021,2021,2021,AMR,Americas,HTI,Haiti,,,,69.0,69,,
TB_new_snsuoth,"New cases: Pulmonary, smear-negative/unknown/not done and other new cases",https://www.who.int/data/gho/data/indicators/indicator-details/GHO/new-cases-pulmonary-smear-negative-unknown-not-done-and-other-new-cases,2008,2008,2008,AMR,Americas,HTI,Haiti,,,,4655.0,4655,,
MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/incidence-of-tuberculosis-%28per-100-000-population-per-year%29,2013,2013,2013,AMR,Americas,HTI,Haiti,,,,206.0,206 [158-261],158.0,261.0
TB_c_ret_tsr,Treatment success rate: previously treated TB cases,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/treatment-success-rate-previously-treated-tb-cases,2015,2015,2015,AMR,Americas,HTI,Haiti,,,,57.0,57,,
TB_c_dst_rlt_new_pct,New cases tested for RR-/MDR-TB (%),https://www.who.int/data/gho/data/indicators/indicator-details/GHO/new-cases-tested-for-rr--mdr-tb-%28-%29,2019,2019,2019,AMR,Americas,HTI,Haiti,,,,16.0,16,,
